CID,NumberOfRings,NumberOfAromaticRings,ALogP,MolecularWeight,RotatableBondCount,HydrogenBondAcceptorCount,HydrogenBondDonorCount,TPSA,XlogP,EC50
644425,4,4.0,0.0,421.55838,8,6,0,88.2,4.2,2.26
644442,4,3.0,0.0,417.50186,5,7,1,113.0,2.3,2.326
644732,4,2.0,0.0,286.37538,3,5,1,68.0,3.6,1.869
644979,5,4.0,0.0,425.52878,7,6,0,63.0,3.5,0.263
645582,3,3.0,0.0,402.87792,8,7,1,94.8,4.3,3.107
645652,4,3.0,0.0,483.46411,5,11,1,119.0,2.4,2.613
645760,4,3.0,0.0,391.41984,6,5,0,75.9,2.0,0.276
645978,4,3.0,0.0,383.46734,5,7,1,109.0,2.7,2.483
645989,4,3.0,0.0,433.49958,7,5,0,75.9,3.3,0.166
646158,4,3.0,0.0,383.46404,6,5,1,102.0,3.2,0.489
646338,5,4.0,0.0,408.84098,4,7,1,87.0,3.9,2.737
646459,4,3.0,0.0,371.51954,5,5,1,102.0,3.5,0.646
646678,5,4.0,0.0,453.62668,6,8,0,119.0,4.6,1.964
646852,4,2.0,0.0,373.55864,4,5,0,75.1,4.5,2.152
646977,4,3.0,0.0,346.42558,4,5,1,50.3,3.5,1.415
647455,2,2.0,0.0,191.24956,2,2,0,45.6,1.5,1.096
647549,3,3.0,0.0,264.28198,2,4,1,67.8,2.2,2.222
648030,4,3.0,0.0,349.38316,3,4,1,71.0,3.0,2.134
648122,3,3.0,0.0,361.34101,4,8,0,88.0,3.5,0.975
648300,4,3.0,0.0,333.43012,4,4,1,56.4,4.6,0.1
648474,6,5.0,0.0,497.61458,7,8,0,100.0,5.1,2.995
648560,5,5.0,0.0,496.60338,10,6,1,89.1,4.5,1.408
648581,3,3.0,0.0,268.285623,3,4,2,45.2,3.6,5.558
648612,3,3.0,0.0,415.82702,6,5,3,102.0,3.3,1.787
648779,4,3.0,0.0,418.53628,7,8,1,148.0,4.2,2.144
648878,2,2.0,0.0,330.60482,3,3,0,29.5,4.0,2.955
648978,5,4.0,0.0,489.99982,7,7,0,72.2,4.2,2.036
648986,5,4.0,0.0,446.519883,7,6,1,75.9,3.5,2.382
649031,4,3.0,0.0,419.54088,5,7,1,144.0,2.6,0.586
649180,3,3.0,0.0,384.49516,5,5,1,97.3,4.5,1.765
649376,4,3.0,0.0,443.58712,6,6,0,73.9,4.6,1.727
649504,3,1.0,0.0,394.5315,5,6,1,81.3,1.4,0.738
649525,4,2.0,0.0,365.42562,3,4,0,62.7,2.3,0.482
649647,4,2.0,0.0,357.51288,5,4,0,64.7,4.7,0.78
650140,6,5.0,0.0,482.60324,7,8,0,104.0,4.3,0.244
650148,5,4.0,0.0,418.51138,4,5,1,100.0,4.6,0.782
650193,5,3.0,0.0,435.58166,5,4,0,73.8,4.7,2.533
650798,4,2.0,0.0,545.599743,8,10,2,120.0,0.0,0.182
650865,4,3.0,0.0,405.421603,6,5,0,62.7,2.6,0.26
651201,4,4.0,0.0,466.599,10,7,1,113.0,3.3,2.559
651236,5,4.0,0.0,458.5554,6,6,1,85.2,3.5,1.911
651422,2,1.0,0.0,294.34618,4,6,3,104.0,0.0,0.127
651866,4,3.0,0.0,333.42682,4,4,1,39.6,3.1,2.03
652021,4,3.0,0.0,452.5492,6,7,1,137.0,3.3,2.83
652299,4,4.0,0.0,397.49546,7,5,0,92.7,4.0,0.772
652303,3,3.0,0.0,447.53114,10,9,1,162.0,2.4,60.0
652524,5,4.0,0.0,475.5627,5,5,0,104.0,3.6,4.067
652581,3,2.0,0.0,314.37888,5,5,1,62.7,2.6,3.26
652628,3,2.0,0.0,286.34886,3,4,2,75.7,3.6,0.1
653045,5,5.0,0.0,467.5224,9,7,1,98.1,2.3,0.554
653157,4,3.0,0.0,397.49062,6,5,1,102.0,3.7,30.0
653939,5,4.0,0.0,476.57068,8,7,1,98.3,2.8,3.139
653978,4,3.0,0.0,458.509123,6,8,1,119.0,3.3,2.225
654068,6,4.0,0.0,442.50964,4,6,0,61.1,4.0,1.819
654128,1,0.0,0.0,347.40894,4,9,6,197.0,0.0,3.821
654196,4,3.0,0.0,381.53758,7,5,0,75.1,4.4,3.966
654593,5,4.0,0.0,411.5022,6,6,0,63.0,3.2,0.534
654722,5,4.0,0.0,461.508003,6,7,0,93.8,5.1,1.004
654851,4,4.0,0.0,480.53946,9,9,0,121.0,2.6,2.189
655205,4,3.0,0.0,405.421603,6,5,0,62.7,2.6,0.557
655480,3,1.0,0.0,259.3898,2,3,1,32.5,3.2,0.197
655796,5,5.0,0.0,498.508323,9,7,1,106.0,2.9,1.677
655811,4,2.0,0.0,425.54378,5,7,0,92.9,3.3,2.515
655818,5,5.0,0.0,456.56266,8,6,1,104.0,3.5,2.678
655938,3,2.0,0.0,357.87706,6,3,1,35.6,3.0,0.965
655976,6,4.0,0.0,486.583743,6,7,0,49.1,3.7,4.9
656240,5,4.0,0.0,497.63618,7,9,0,134.0,4.1,0.861
657462,4,4.0,0.0,265.26674,1,3,0,56.4,3.2,0.707
657586,5,2.0,0.0,415.57372,4,5,0,46.4,4.5,0.505
657650,5,1.0,0.0,409.5676,3,6,0,55.6,3.6,0.251
658010,4,2.0,0.0,408.55962,4,6,0,77.7,3.5,0.62
658104,5,3.0,0.0,413.49002,4,8,1,119.0,3.9,2.629
658118,4,4.0,0.0,436.28306,5,6,1,119.0,3.1,1.322
658311,3,3.0,0.0,266.34092,4,2,0,35.6,2.0,2.452
658604,4,2.0,0.0,361.48328,4,5,1,55.2,3.6,0.639
658612,2,2.0,0.0,175.18396,1,3,2,53.4,1.2,3.358
658682,4,3.0,0.0,363.40974,5,4,2,74.4,4.2,0.89
658785,2,2.0,0.0,217.22394,2,3,1,75.8,0.1,0.903
658842,4,2.0,0.0,425.54378,6,7,0,92.9,3.5,1.485
658948,4,3.0,0.0,377.43632,5,4,2,74.4,4.6,0.1
658950,6,5.0,0.0,459.58644,4,6,0,108.0,4.3,0.1
659062,3,3.0,0.0,250.33822,4,1,1,19.0,3.3,0.972
659069,5,4.0,0.0,418.49154,6,6,2,102.0,2.3,2.434
659077,4,4.0,0.0,444.4394,7,7,2,115.0,5.3,1.384
659226,4,3.0,0.0,458.25884,7,7,0,95.7,4.2,0.51
659852,4,3.0,0.0,359.4674,5,5,1,44.3,4.5,0.809
659902,4,3.0,0.0,304.3889,2,4,0,41.9,3.9,0.576
660236,4,2.0,0.0,430.54376,9,9,0,80.0,3.2,1.655
660289,3,3.0,0.0,349.43274,4,7,1,153.0,3.1,0.145
660507,5,3.0,0.0,471.5078,8,9,0,101.0,3.2,1.176
661234,3,3.0,0.0,293.3199,4,4,1,68.0,2.7,1.55
661261,4,4.0,0.0,360.36604,4,4,2,89.2,3.4,2.156
661288,3,2.0,0.0,449.49744,8,8,4,144.0,0.0,0.206
661535,6,6.0,0.0,484.59422,8,3,1,62.2,5.0,2.439
661910,3,3.0,0.0,358.43466,6,6,1,125.0,3.8,2.142
662044,5,1.0,0.0,374.52348,5,7,1,143.0,3.6,1.59
662147,3,3.0,0.0,380.44356,7,7,1,85.2,4.1,1.121
662228,4,2.0,0.0,378.46744,5,6,0,79.1,4.1,1.007
662273,4,3.0,0.0,395.41184,7,8,1,100.0,3.7,2.363
662276,3,2.0,0.0,343.4234,6,6,1,81.9,4.2,1.197
662451,3,2.0,0.0,395.49796,9,7,0,82.4,3.6,2.572
662466,4,4.0,0.0,379.47864,5,5,2,114.0,3.4,2.17
662587,3,3.0,0.0,369.80164,7,6,1,80.3,4.9,1.356
662606,5,4.0,0.0,424.49436,5,5,0,58.6,4.2,1.775
662882,5,5.0,0.0,388.38098,3,6,0,100.0,4.0,2.252
662954,3,3.0,0.0,351.40234,7,6,1,81.9,3.9,2.09
662963,4,2.0,0.0,408.49342,5,7,0,88.3,3.8,1.145
663060,3,3.0,0.0,365.42892,7,6,1,81.9,4.3,1.458
663120,5,4.0,0.0,418.53782,4,7,1,147.0,5.3,2.237
663159,3,3.0,0.0,365.42892,8,6,1,81.9,4.4,2.036
663230,3,2.0,0.0,409.52454,9,7,0,82.4,3.7,4.05
663315,4,3.0,0.0,318.41548,3,4,0,41.9,4.4,0.521
663459,3,3.0,0.0,353.80224,5,5,0,62.3,4.6,8.313
663493,5,4.0,0.0,445.47052,5,6,2,107.0,2.1,1.668
663574,4,3.0,0.0,326.43916,1,6,1,122.0,3.4,0.1
663656,3,2.0,0.0,298.42254,5,3,0,15.7,3.8,0.284
663750,3,3.0,0.0,385.48322,6,5,2,127.0,0.6,4.432
663792,5,4.0,0.0,489.52308,8,7,2,117.0,1.8,1.269
663821,6,3.0,0.0,440.56172,4,9,1,106.0,2.4,0.241
663838,4,4.0,0.0,276.29268,2,5,1,63.8,3.2,2.469
