CID,NumberOfRings,NumberOfAromaticRings,ALogP,MolecularWeight,RotatableBondCount,HydrogenBondAcceptorCount,HydrogenBondDonorCount,TPSA,XlogP,EC50
2114519,4,3.0,0.0,362.46474,4,4,0,32.8,3.3,0.1
2121112,3,2.0,0.0,373.36326,4,7,2,139.0,3.0,0.122
2121356,3,2.0,0.0,464.1936,4,2,1,32.3,4.8,0.255
2123263,4,3.0,0.0,495.59386,7,7,2,154.0,3.0,2.589
2123970,3,3.0,0.0,325.3849,5,5,1,92.4,2.6,2.736
2124433,3,3.0,0.0,414.90846,6,5,2,112.0,4.1,2.232
2124708,3,3.0,0.0,351.35598,3,5,0,95.6,3.2,1.607
2125622,4,4.0,0.0,370.20008,2,3,2,70.9,4.4,1.627
2127357,3,3.0,0.0,323.34258,6,4,2,79.4,3.8,2.887
2127869,6,5.0,0.0,436.50506,3,4,1,73.0,5.3,1.454
2129356,3,3.0,0.0,380.3972,4,5,1,108.0,3.3,1.001
2129554,3,3.0,0.0,317.27678,2,7,0,143.0,3.8,1.273
2131984,3,3.0,0.0,510.42282,9,4,2,74.6,4.9,1.561
2132993,1,0.0,0.0,289.41416,8,5,0,104.0,2.5,4.766
2136388,5,4.0,0.0,407.48874,3,6,0,88.8,3.9,1.139
2140163,4,4.0,0.0,398.41402,6,5,1,86.1,3.2,1.902
2146184,3,2.0,0.0,389.53482,4,5,0,84.3,2.7,2.982
2147586,5,4.0,0.0,494.54282,4,8,1,162.0,4.5,2.008
2147955,4,4.0,0.0,404.4848,5,5,1,90.8,3.9,1.312
2150444,5,5.0,0.0,455.52824,5,5,1,100.0,5.7,1.262
2150794,3,2.0,0.0,254.255826,2,5,1,70.2,2.5,0.305
2151449,5,4.0,0.0,475.51304,6,7,0,100.0,4.4,2.426
2155616,4,3.0,0.0,412.4622,7,7,1,114.0,2.6,2.156
2157724,4,4.0,0.0,418.529623,6,3,2,76.0,4.7,0.698
2157899,3,3.0,0.0,398.539983,6,3,2,76.0,4.1,0.577
2157909,4,4.0,0.0,418.529623,6,3,2,76.0,4.7,0.953
2157931,4,4.0,0.0,436.520086,6,4,2,76.0,4.8,0.608
2157933,4,4.0,0.0,436.520086,6,4,2,76.0,4.8,0.705
2158045,3,3.0,0.0,377.9545,5,2,2,91.4,4.5,2.282
2158147,4,4.0,0.0,435.6048,7,3,2,101.0,5.4,2.82
2158150,4,4.0,0.0,465.63078,8,4,2,110.0,5.3,2.083
2158155,4,4.0,0.0,453.595263,7,4,2,101.0,5.5,3.349
2158156,4,4.0,0.0,453.595263,7,4,2,101.0,5.5,4.206
2158952,5,4.0,0.0,490.53098,6,8,1,123.0,3.6,0.795
2158957,4,3.0,0.0,458.48758,6,9,1,132.0,2.0,2.088
2158975,3,3.0,0.0,488.55662,11,9,1,132.0,3.5,0.965
2160948,5,5.0,0.0,545.97366,6,7,0,118.0,4.0,2.404
2160949,5,5.0,0.0,563.964123,6,8,0,118.0,4.1,2.179
2164602,3,3.0,0.0,415.87008,7,5,1,86.4,4.2,2.864
2166747,1,1.0,0.0,248.36386,6,2,1,32.3,2.4,1.275
2167819,2,2.0,0.0,415.5026,8,6,2,121.0,5.3,3.423
2168035,3,3.0,0.0,326.84478,3,5,1,127.0,4.5,1.036
2168891,3,3.0,0.0,463.3768,7,4,2,110.0,6.4,1.764
2169083,3,3.0,0.0,381.89516,9,3,1,30.5,5.1,0.1
2170628,2,2.0,0.0,245.70418,3,1,1,29.1,3.3,1.687
2171210,2,2.0,0.0,330.51068,5,2,2,81.4,4.8,2.204
2174469,3,3.0,0.0,409.516263,9,4,1,63.6,5.8,2.666
2175242,2,2.0,0.0,371.34764,6,2,2,81.4,4.9,2.945
2176255,3,2.0,0.0,458.5704,10,6,1,93.3,4.0,3.348
2176363,3,2.0,0.0,442.571,9,5,1,84.1,4.4,2.305
2177616,1,1.0,0.0,314.25172,6,4,1,79.8,2.7,36.93
2178534,2,2.0,0.0,435.45094,7,8,2,156.0,2.4,0.797
2183846,4,4.0,0.0,404.45836,6,4,1,61.7,4.4,1.004
2186090,2,2.0,0.0,394.55134,10,5,1,103.0,4.4,1.826
2186299,3,2.0,0.0,357.834,4,2,1,54.3,3.2,0.178
2186406,3,2.0,0.0,301.226123,2,6,0,85.3,3.3,0.501
2188356,2,2.0,0.0,467.96624,10,6,1,121.0,4.9,0.798
2190927,2,2.0,0.0,284.328083,5,4,1,32.3,4.2,2.317
2192714,3,3.0,0.0,456.21333,3,7,0,78.5,4.7,1.998
2192957,2,2.0,0.0,304.4734,6,2,2,84.4,4.6,2.597
2194184,4,3.0,0.0,413.51646,6,7,1,150.0,3.8,1.89
2195963,2,2.0,0.0,328.47166,7,2,2,65.4,4.9,3.508
2195983,3,2.0,0.0,339.4976,4,2,3,68.2,5.4,2.215
2196686,3,2.0,0.0,393.30688,5,3,1,41.6,4.7,3.004
2199938,3,2.0,0.0,348.2144,2,3,1,74.4,3.5,1.947
2200688,3,3.0,0.0,296.32054,5,4,0,57.3,3.3,1.615
2201553,3,2.0,0.0,326.81996,3,3,0,40.2,5.1,1.814
2202984,4,4.0,0.0,429.46782,8,6,1,86.5,4.5,1.211
2204100,2,2.0,0.0,381.51114,10,3,2,61.4,3.7,0.894
2204244,3,2.0,0.0,442.53124,5,6,2,132.0,5.1,1.322
2205442,3,2.0,0.0,438.81214,4,2,2,59.4,4.9,0.228
2205478,3,2.0,0.0,373.94266,5,2,2,59.4,4.2,2.86
2205572,3,3.0,0.0,334.3106,4,9,0,150.0,2.4,0.556
2211100,4,2.0,0.0,353.41492,4,4,2,62.8,2.8,1.001
2211952,2,2.0,0.0,387.37675,5,7,3,95.7,2.7,3.628
2214458,4,3.0,0.0,508.40694,5,4,1,61.9,4.8,2.519
2214529,1,1.0,0.0,246.33136,4,5,1,112.0,3.0,0.542
2214803,5,,0.0,452.3557,3,3,2,,7.0,0.642
2214828,4,3.0,0.0,476.63028,7,4,1,74.9,5.3,2.657
2215367,3,3.0,0.0,463.3834,8,7,2,108.0,5.8,2.152
2216008,3,3.0,0.0,497.39478,8,7,0,105.0,4.1,2.713
2219681,3,3.0,0.0,437.915443,8,7,1,83.8,5.1,0.135
2220183,3,2.0,0.0,372.3752,4,6,1,112.0,2.2,5.982
2220460,4,4.0,0.0,420.89144,4,5,1,80.9,5.1,1.952
2220696,4,4.0,0.0,424.31366,4,4,1,83.1,4.0,2.657
2223214,4,3.0,0.0,459.60306,7,4,2,85.7,5.7,1.094
2225380,2,1.0,0.0,324.8456,6,3,1,41.6,3.9,0.164
2227134,3,2.0,0.0,310.365363,3,4,0,40.2,4.6,2.782
2228772,3,2.0,0.0,296.338783,3,4,0,40.2,4.2,3.549
2229952,4,4.0,0.0,470.58264,6,4,2,83.6,6.0,1.567
2230814,4,3.0,0.0,515.346646,5,6,0,49.8,5.2,2.365
2233458,3,3.0,0.0,556.48182,8,7,1,121.0,4.3,2.136
2234099,3,2.0,0.0,480.50323,7,10,1,113.0,3.0,0.807
2234355,2,2.0,0.0,382.53896,9,3,2,50.4,5.2,1.363
2238561,4,3.0,0.0,454.96902,4,4,1,74.9,4.8,2.176
2238820,3,2.0,0.0,378.40622,6,7,2,177.0,1.9,0.125
2238995,5,5.0,0.0,412.46044,3,5,1,96.5,5.5,1.09
2241256,3,2.0,0.0,451.58106,8,6,1,117.0,4.3,2.945
2244929,2,1.0,0.0,247.3758,6,2,0,12.5,3.8,1.195
2245043,2,1.0,0.0,304.47018,9,3,0,15.7,4.2,0.752
2246186,1,1.0,0.0,299.83614,9,3,0,21.7,3.9,0.408
2256105,4,3.0,0.0,288.3862,1,2,0,6.5,5.0,0.544
2265943,4,3.0,0.0,352.86054,3,4,1,31.4,2.3,1.393
2269415,2,1.0,0.0,376.71632,7,3,0,21.7,4.4,0.54
2270563,4,4.0,0.0,390.8853,4,3,1,70.2,5.7,1.571
2276231,3,3.0,0.0,379.45216,7,4,0,92.1,4.8,1.274
2281861,4,4.0,0.0,437.4915,5,7,1,142.0,4.6,0.118
2287257,3,2.0,0.0,442.571,10,5,1,84.1,4.4,2.577
2288018,3,3.0,0.0,468.56522,10,6,1,93.3,4.2,4.734
2296326,3,1.0,0.0,370.4885,7,6,1,65.5,2.8,1.444
2296676,2,1.0,0.0,305.45494,8,3,0,21.7,4.3,0.913
2298439,2,1.0,0.0,291.42836,8,3,0,21.7,3.8,0.816
2301821,3,2.0,0.0,294.34772,3,4,0,49.4,3.2,4.37
2306089,2,1.0,0.0,307.370902,3,4,0,26.8,2.5,2.964
2308215,4,3.0,0.0,359.44418,3,5,0,81.3,4.3,1.755
2308236,5,5.0,0.0,395.47628,4,3,1,75.2,5.4,1.857
2309360,3,2.0,0.0,412.54502,6,5,0,66.1,4.3,0.739
2320398,4,3.0,0.0,518.995882,7,7,2,102.0,5.2,1.899
2320399,4,3.0,0.0,484.550822,7,7,2,102.0,4.6,1.494
2320407,3,3.0,0.0,519.371182,9,6,2,77.8,5.4,1.948
2320414,3,3.0,0.0,522.547628,11,9,2,103.0,6.1,1.985
2320415,3,3.0,0.0,508.473092,9,9,2,77.8,5.6,1.296
2320419,3,3.0,0.0,533.397762,9,6,2,77.8,5.7,2.267
2321431,3,3.0,0.0,329.395143,3,6,1,94.9,3.5,2.006
2322219,5,4.0,0.0,453.53396,5,7,1,129.0,3.9,4.209
2324620,2,2.0,0.0,455.61282,6,4,4,123.0,6.3,0.382
2325184,2,2.0,0.0,276.31098,2,4,1,103.0,3.7,0.691
2325816,4,3.0,0.0,360.45054,3,5,0,91.4,2.7,1.295
2327953,4,3.0,0.0,388.5037,3,5,0,91.4,3.4,0.89
2328694,2,2.0,0.0,408.295079,6,9,2,59.6,4.7,0.719
2328848,5,3.0,0.0,331.386123,2,3,0,18.8,4.0,1.74
2328850,5,3.0,0.0,326.43418,3,1,0,15.6,5.0,0.935
2330223,3,2.0,0.0,391.46128,3,5,1,114.0,1.8,1.965
2330225,1,1.0,0.0,170.12284,1,4,0,87.7,0.6,0.54
2331800,5,5.0,0.0,573.61628,10,9,2,137.0,4.2,1.616
2332199,6,4.0,0.0,543.53577,4,7,0,60.9,5.4,2.493
2334526,4,4.0,0.0,408.37591,4,6,1,59.8,5.0,0.489
2335634,3,2.0,0.0,340.843323,2,4,0,51.8,4.1,0.197
2336107,5,5.0,0.0,516.99864,6,5,2,104.0,5.3,1.683
2337349,3,3.0,0.0,384.152869,1,11,0,26.3,4.1,0.663
2337552,4,2.0,0.0,482.24378,1,5,0,137.0,3.3,1.391
2342136,3,3.0,0.0,358.3287,2,7,1,162.0,3.3,0.654
2345854,3,3.0,0.0,473.60818,10,7,1,116.0,4.4,2.278
2346083,5,5.0,0.0,531.02522,6,5,3,112.0,5.9,2.49
2348603,4,4.0,0.0,497.561703,8,8,1,125.0,4.6,1.136
2352853,4,4.0,0.0,460.952,5,3,1,60.3,6.3,0.938
2353203,4,4.0,0.0,389.8774,5,2,1,46.4,5.5,1.191
2353214,3,3.0,0.0,387.807046,6,4,1,38.3,6.3,1.287
2353710,4,4.0,0.0,389.8774,5,2,1,46.4,5.5,2.158
2360549,3,2.0,0.0,328.423703,4,3,0,25.2,4.3,1.184
2370425,3,3.0,0.0,329.33054,3,6,1,129.0,3.7,0.37
2373924,2,2.0,0.0,312.10828,2,4,1,87.8,3.1,60.0
2378273,3,3.0,0.0,297.77874,4,1,0,22.0,4.3,1.423
2383047,3,3.0,0.0,285.31774,4,4,0,81.0,2.9,11.3
2384236,2,2.0,0.0,301.8105,7,1,0,20.3,4.3,2.067
2387018,3,3.0,0.0,283.75216,3,1,0,22.0,3.9,0.998
2397376,3,3.0,0.0,455.05766,4,6,0,94.0,4.1,1.751
2398303,4,3.0,0.0,290.35902,2,3,1,36.4,3.2,0.529
2404824,2,2.0,0.0,302.79856,5,2,1,32.3,4.1,0.1
2405315,5,4.0,0.0,499.98804,7,5,1,71.5,5.3,1.629
2405497,5,5.0,0.0,431.94052,5,4,2,97.8,5.7,0.595
2406187,4,4.0,0.0,321.35314,3,5,1,96.3,3.5,1.46
2406282,3,3.0,0.0,297.33174,4,5,1,96.3,2.3,4.022
2412504,2,2.0,0.0,335.63666,3,2,0,58.0,3.9,0.1
2414456,5,4.0,0.0,416.53856,4,6,0,69.7,5.6,2.687
2416000,4,4.0,0.0,423.890403,5,5,1,80.2,5.2,2.158
2416350,4,4.0,0.0,326.39442,4,3,2,55.9,4.7,7.722
2417800,4,3.0,0.0,402.48554,7,4,0,59.5,5.1,0.496
2418645,3,2.0,0.0,381.25642,4,4,0,56.2,2.0,2.218
2422607,3,2.0,0.0,338.418523,5,3,1,32.3,3.8,0.102
2423078,3,2.0,0.0,376.90024,5,4,1,69.1,3.7,0.169
2426562,3,2.0,0.0,428.5278,7,6,0,137.0,3.3,1.578
2426831,5,3.0,0.0,524.0741,4,5,0,69.3,5.0,1.126
2427877,5,3.0,0.0,438.5856,5,7,0,79.0,4.6,0.278
2430298,3,2.0,0.0,324.16204,2,3,0,53.0,2.3,2.461
2432028,4,4.0,0.0,480.55432,9,4,2,86.7,6.0,2.018
2434116,5,5.0,0.0,431.94052,5,4,2,97.8,5.7,1.173
2435404,4,2.0,0.0,351.39574,4,5,0,48.0,4.3,2.749
2441196,2,1.0,0.0,340.80194,6,5,1,67.9,2.1,4.18
2443906,3,2.0,0.0,340.48236,5,2,2,65.4,5.4,2.053
2452101,2,1.0,0.0,278.32686,3,4,1,83.9,1.2,0.949
2452268,4,4.0,0.0,360.83948,4,3,2,55.9,5.4,4.259
2452802,4,4.0,0.0,329.370243,4,4,1,37.8,5.4,0.107
2452853,3,2.0,0.0,395.38708,4,8,0,134.0,1.5,0.103
2453271,4,3.0,0.0,382.47928,5,5,1,103.0,3.8,1.734
2454062,4,1.0,0.0,489.6275,6,6,2,133.0,5.3,3.107
2454706,4,4.0,0.0,330.358303,4,5,1,50.7,4.0,0.67
2454757,4,4.0,0.0,432.45184,5,7,0,129.0,4.3,0.448
2455004,2,2.0,0.0,273.75734,4,1,0,20.3,3.8,0.352
2455651,3,3.0,0.0,390.18818,4,5,0,87.7,3.1,0.212
2457799,5,4.0,0.0,537.65368,5,8,1,170.0,4.5,2.104
2460667,3,3.0,0.0,357.57928,3,5,0,71.6,2.8,1.153
2462067,4,2.0,0.0,356.889,3,3,1,26.7,4.8,2.648
2462609,3,3.0,0.0,339.41148,5,4,2,99.3,2.6,1.997
2465035,4,4.0,0.0,346.8129,4,4,1,50.7,4.6,0.952
2467166,5,3.0,0.0,453.57702,4,6,1,116.0,4.3,2.074
2469519,1,1.0,0.0,293.2753,7,6,1,121.0,1.4,3.082
2471413,2,2.0,0.0,311.16328,4,3,0,49.7,3.4,2.185
2472581,3,3.0,0.0,330.3153,5,6,1,133.0,3.5,1.036
2475132,5,3.0,0.0,504.64368,5,6,1,81.3,3.7,1.428
2479394,3,2.0,0.0,317.3629,2,5,0,97.6,3.2,0.808
2494372,4,3.0,0.0,340.4426,4,6,1,80.7,2.8,0.721
2495129,5,4.0,0.0,388.4854,3,6,1,80.7,4.9,3.784
2496359,5,4.0,0.0,474.89246,6,6,1,86.8,5.4,2.223
2499208,3,3.0,0.0,358.36846,6,6,1,133.0,4.3,0.739
2499497,3,3.0,0.0,473.881343,9,7,1,91.7,4.5,0.691
2500614,5,4.0,0.0,473.47732,7,7,1,108.0,3.4,2.277
2504318,5,4.0,0.0,387.45758,3,6,1,99.2,3.3,4.673
2517229,4,4.0,0.0,435.92592,6,4,2,99.3,4.9,2.015
2519271,4,3.0,0.0,443.79736,5,8,0,151.0,3.2,0.1
2523404,4,4.0,0.0,415.50744,5,4,2,103.0,5.0,0.876
2524043,4,3.0,0.0,364.35474,3,5,1,108.0,2.5,0.5
2526579,3,3.0,0.0,423.55112,12,7,1,76.3,4.8,0.1
2530952,3,3.0,0.0,402.03028,3,5,0,71.6,2.9,2.027
2531772,1,1.0,0.0,239.69806,4,2,0,37.4,1.5,2.514
2535642,6,4.0,0.0,466.57578,6,9,1,125.0,4.0,1.311
2537278,4,3.0,0.0,542.44476,7,6,1,95.2,4.4,1.078
2539487,3,3.0,0.0,339.41148,6,5,1,92.4,3.5,1.138
2540732,4,3.0,0.0,368.30038,3,7,1,126.0,1.4,2.313
2542138,6,4.0,0.0,535.68086,5,7,2,135.0,4.2,1.672
2544769,4,4.0,0.0,390.27584,2,3,0,38.7,5.2,2.684
2546318,2,2.0,0.0,396.30752,8,3,1,47.6,5.6,1.343
2547579,4,4.0,0.0,325.74908,2,3,2,70.9,4.4,1.678
2550689,3,3.0,0.0,349.31047,3,7,1,72.2,2.9,60.0
2551059,4,3.0,0.0,330.42288,4,2,1,36.1,4.1,0.857
2551422,5,4.0,0.0,469.57642,6,7,1,130.0,4.5,2.543
2553501,3,3.0,0.0,440.28992,7,4,2,80.3,3.2,2.145
2564994,4,3.0,0.0,493.62104,8,6,1,111.0,3.5,0.1
2578872,3,3.0,0.0,369.43746,8,6,1,102.0,3.0,3.242
2585205,2,2.0,0.0,370.18742,6,5,1,88.1,2.3,2.06
2594234,3,3.0,0.0,284.33628,3,4,1,88.0,1.8,2.277
2594907,5,3.0,0.0,395.5211,6,7,1,91.4,3.2,2.58
2608752,3,2.0,0.0,235.30542,1,5,1,79.6,1.7,1.964
2632862,2,2.0,0.0,415.42991,6,7,2,86.9,3.3,1.667
2660566,4,4.0,0.0,365.4057,4,6,1,106.0,3.8,1.215
2674621,4,3.0,0.0,406.49738,4,4,0,66.1,3.7,1.104
2677285,3,2.0,0.0,416.53372,7,5,1,84.1,4.2,30.0
2698808,3,2.0,0.0,421.94086,7,5,1,78.1,2.9,1.58
2699085,3,,0.0,452.50292,9,7,1,,2.4,2.783
2700013,3,2.0,0.0,456.38592,7,5,1,78.1,3.6,2.037
2723598,3,3.0,0.0,248.70812,0,3,3,39.9,0.0,1.163
2725904,3,3.0,0.0,287.7673,3,4,1,66.0,4.0,0.3
2725961,3,3.0,0.0,408.80805,6,9,2,75.6,4.0,0.364
2726056,3,3.0,0.0,316.80522,2,4,1,84.2,5.1,0.1
2726121,2,2.0,0.0,392.252619,3,9,1,74.9,4.3,2.181
2728081,5,3.0,0.0,389.49008,4,4,2,57.4,3.3,1.603
2729786,4,3.0,0.0,375.478443,3,3,1,23.5,5.0,2.78
2731956,3,3.0,0.0,319.8323,4,5,0,92.2,3.2,2.14
2738200,3,3.0,0.0,375.34445,4,6,2,67.2,3.8,4.326
2738961,4,3.0,0.0,294.34772,1,3,1,47.1,4.4,1.453
2740175,3,3.0,0.0,310.7808,3,4,0,41.9,3.9,3.258
2741258,2,2.0,0.0,246.33136,2,3,2,106.0,2.5,0.1
2744279,3,3.0,0.0,351.40732,4,8,0,161.0,2.1,0.759
2745707,4,4.0,0.0,505.8041,6,6,1,106.0,6.0,1.718
2746653,3,2.0,0.0,287.40312,4,5,1,87.9,3.9,0.1
2755820,2,2.0,0.0,343.33398,6,5,1,121.0,3.5,0.1
2765719,3,3.0,0.0,450.914203,9,8,1,104.0,4.6,1.262
2766003,3,3.0,0.0,467.50447,9,9,1,92.4,4.4,1.916
2766004,3,3.0,0.0,399.5065,9,6,1,92.4,3.6,1.686
2766138,3,3.0,0.0,315.43314,5,3,1,65.5,3.4,0.136
2766272,3,2.0,0.0,441.16026,4,2,2,48.1,4.1,0.539
2766327,4,2.0,0.0,409.5643,8,5,1,39.2,4.2,0.114
2766344,4,2.0,0.0,496.59854,10,8,0,91.1,3.9,0.257
2767121,4,3.0,0.0,373.426103,3,6,0,56.0,3.6,1.25
2767136,3,3.0,0.0,358.343643,4,6,1,112.0,4.2,1.416
2767411,4,4.0,0.0,452.97628,6,5,0,93.6,5.7,2.931
2768317,5,4.0,0.0,396.4412,3,5,0,72.4,5.2,1.46
2768758,2,2.0,0.0,329.82558,5,6,1,119.0,2.7,0.886
2768940,2,2.0,0.0,295.78446,2,3,0,55.4,3.7,2.05
2769258,2,2.0,0.0,271.09942,2,3,0,41.9,2.7,1.591
2769757,5,0.0,0.0,357.95834,7,3,2,32.7,0.0,0.228
2770575,5,0.0,0.0,431.00906,9,5,2,62.2,0.0,1.156
2783649,3,2.0,0.0,224.32082,0,0,0,3.0,3.4,2.825
2784726,2,2.0,0.0,304.25818,3,7,1,126.0,3.6,3.025
2790527,4,4.0,0.0,322.7882,2,3,3,45.2,0.0,0.672
2790584,4,3.0,0.0,385.88716,4,5,2,46.6,0.0,1.794
2790788,3,3.0,0.0,340.84654,3,3,2,42.0,0.0,1.419
2796463,3,1.0,0.0,286.43498,2,2,1,49.7,4.5,0.795
2802138,4,3.0,0.0,377.30748,4,2,1,28.4,4.8,2.432
2802298,3,2.0,0.0,445.42746,5,7,0,160.0,3.9,1.624
2802693,4,3.0,0.0,331.4507,4,2,0,12.5,5.2,1.202
2802912,3,1.0,0.0,300.46156,2,2,1,49.7,4.9,0.561
2806260,1,1.0,0.0,243.23976,2,5,2,132.0,1.6,0.415
2806294,2,2.0,0.0,297.71752,2,4,2,115.0,3.0,3.467
2806956,3,3.0,0.0,392.35505,4,8,2,112.0,3.8,0.927
2809257,3,3.0,0.0,380.75159,3,5,2,59.0,4.0,2.011
2809799,4,3.0,0.0,381.443263,4,4,1,48.6,3.6,0.23
2809985,4,3.0,0.0,434.84203,2,6,1,48.5,4.5,3.22
2809986,4,3.0,0.0,450.84143,3,7,1,57.7,4.8,2.057
2810028,3,3.0,0.0,431.19605,4,7,2,80.0,4.5,2.434
2810079,4,3.0,0.0,508.87421,6,9,1,81.0,4.6,3.299
2811316,3,2.0,0.0,512.426039,5,14,0,101.0,3.3,3.033
2812045,4,3.0,0.0,321.41612,4,3,1,31.5,3.4,2.097
2812147,2,2.0,0.0,235.214403,3,5,2,67.2,2.4,2.264
2812866,4,3.0,0.0,309.380603,3,3,1,22.3,3.5,0.69
2813100,4,3.0,0.0,306.40478,3,3,1,35.2,3.1,1.28
2815701,2,2.0,0.0,333.40536,4,4,2,86.9,3.2,1.394
2816337,4,4.0,0.0,442.0,6,6,1,123.0,5.2,0.161
2816338,4,4.0,0.0,425.545403,6,7,1,123.0,4.7,0.423
2816888,4,3.0,0.0,389.55796,6,7,1,141.0,5.3,0.636
2822060,2,2.0,0.0,296.73276,3,6,1,109.0,3.9,3.204
2822113,4,4.0,0.0,414.97466,6,4,1,97.1,5.0,3.538
2823667,3,3.0,0.0,337.37246,4,3,2,90.7,4.7,1.355
2823688,4,3.0,0.0,432.88068,3,7,0,108.0,3.4,0.581
2826944,3,3.0,0.0,356.25632,3,2,0,21.0,0.0,11.151
2828021,3,3.0,0.0,360.51506,5,1,2,56.2,5.4,3.992
2828189,6,1.0,0.0,357.50958,4,3,0,54.8,4.7,2.867
2829264,1,1.0,0.0,312.61994,6,3,1,29.5,0.0,2.563
2830011,2,2.0,0.0,516.61354,4,4,3,131.0,5.6,1.141
2830140,3,3.0,0.0,432.82285,6,6,2,58.2,6.5,2.166
2831437,3,3.0,0.0,527.80808,5,5,3,140.0,6.1,2.248
2831576,2,2.0,0.0,406.94614,8,4,2,50.8,0.0,0.592
2831792,3,2.0,0.0,382.28239,4,2,2,27.1,0.0,0.1
2831821,2,2.0,0.0,366.12372,2,5,1,121.0,3.1,0.19
2831910,3,3.0,0.0,284.22702,1,5,0,110.0,2.8,0.485
2832015,3,2.0,0.0,414.71672,3,2,3,89.2,0.0,0.177
2833834,3,3.0,0.0,437.3624,4,8,2,179.0,4.7,0.1
2833933,4,2.0,0.0,346.42228,3,4,1,49.4,4.7,0.629
2834357,5,0.0,0.0,371.98492,7,3,2,32.7,0.0,0.164
2834414,4,3.0,0.0,519.90148,6,3,0,35.1,0.0,0.1
2834419,4,3.0,0.0,471.0314,8,4,0,44.3,0.0,0.588
2834534,2,2.0,0.0,370.48688,8,8,2,144.0,0.0,0.445
2835280,2,1.0,0.0,326.90454,6,3,2,24.5,0.0,0.1
2835717,4,3.0,0.0,447.40028,3,7,2,153.0,4.0,0.518
2836226,3,3.0,0.0,301.8138,2,2,0,12.0,0.0,0.582
2836311,1,1.0,0.0,317.80836,9,5,2,59.0,0.0,0.743
2837573,3,2.0,0.0,356.32944,4,7,2,128.0,3.3,0.659
2837886,2,1.0,0.0,317.46894,6,3,0,26.8,2.6,0.296
2838075,2,1.0,0.0,293.35812,6,5,1,59.0,2.1,0.183
2838654,3,2.0,0.0,323.4287,6,3,0,29.5,4.1,0.1
2839312,6,2.0,0.0,418.37052,4,2,2,47.4,0.0,0.223
2839577,4,2.0,0.0,343.37858,2,5,1,89.0,2.3,0.111
2839929,4,4.0,0.0,428.39694,4,6,2,133.0,5.8,0.622
2839970,3,2.0,0.0,439.88664,7,8,3,126.0,0.0,1.731
2840884,3,3.0,0.0,469.76152,5,3,0,61.4,5.1,2.8
2842585,3,3.0,0.0,324.211243,2,3,0,32.1,0.0,1.987
2843251,3,3.0,0.0,320.24736,2,2,0,32.1,0.0,1.869
2843279,4,4.0,0.0,356.27946,2,2,0,32.1,0.0,0.898
2843775,3,3.0,0.0,342.34592,6,6,2,102.0,0.0,1.009
2843935,2,1.0,0.0,307.23924,5,3,2,58.9,0.0,1.104
2845444,3,2.0,0.0,354.4858,7,4,0,24.9,4.0,0.502
2845604,2,1.0,0.0,290.4436,8,3,0,15.7,3.9,0.1
2846021,3,1.0,0.0,310.4763,5,2,0,6.5,4.1,0.1
2846431,3,2.0,0.0,308.46042,6,2,0,6.5,4.3,0.101
2846887,2,2.0,0.0,244.3321,6,2,0,27.0,3.1,2.035
2846928,1,1.0,0.0,387.44106,15,1,0,8.8,0.0,0.1
2846928,1,1.0,0.0,387.44106,15,1,0,8.8,0.0,0.103
2847306,3,3.0,0.0,272.72952,4,2,0,27.0,3.5,3.911
2847950,3,3.0,0.0,382.2936,4,2,0,21.0,0.0,3.329
2849032,2,2.0,0.0,215.25442,1,3,2,90.2,1.1,0.371
2850095,3,3.0,0.0,356.35588,4,6,0,135.0,3.7,3.055
2851364,3,3.0,0.0,293.36296,5,2,1,46.9,3.8,2.146
2851545,2,2.0,0.0,264.75058,6,2,0,27.0,3.3,1.368
2851826,2,2.0,0.0,248.295983,7,3,0,27.0,2.8,1.668
2851859,4,2.0,0.0,400.35524,3,1,1,18.8,0.0,0.387
2852501,3,3.0,0.0,408.49012,12,6,4,83.0,4.0,3.545
2852681,2,2.0,0.0,264.75058,5,2,0,27.0,3.3,0.852
2852724,2,2.0,0.0,227.7138,2,4,3,79.2,0.0,4.056
2852738,2,2.0,0.0,264.75058,6,2,0,27.0,3.3,1.618
2852956,4,2.0,0.0,417.25658,3,4,1,81.7,0.0,0.436
2854948,4,2.0,0.0,365.49182,3,3,2,68.6,3.2,2.622
2855357,3,2.0,0.0,370.44544,6,6,1,73.6,4.3,0.495
2856395,4,3.0,0.0,434.5274,6,6,2,61.0,5.2,1.961
2856632,4,3.0,0.0,445.46722,2,5,0,112.0,5.6,0.1
2857154,5,1.0,0.0,341.20368,1,4,0,76.5,3.2,0.105
2858383,2,2.0,0.0,274.2322,2,6,1,117.0,3.6,1.568
2858397,3,2.0,0.0,370.46858,4,6,1,137.0,5.4,1.978
2858742,2,2.0,0.0,288.25878,2,6,1,117.0,4.0,1.629
2858758,4,2.0,0.0,379.83622,4,4,0,55.7,4.3,2.055
2858765,5,3.0,0.0,512.62262,9,6,1,111.0,5.2,2.05
2859515,4,3.0,0.0,470.37098,6,4,1,87.1,5.7,2.062
2859981,3,1.0,0.0,423.52636,8,7,1,116.0,2.9,1.127
2861396,2,1.0,0.0,390.92528,8,6,1,76.5,0.0,0.264
2862214,3,2.0,0.0,447.33434,6,6,1,108.0,4.4,0.437
2864129,4,2.0,0.0,375.85082,2,4,1,65.8,3.3,2.257
2865152,4,3.0,0.0,359.37798,3,5,1,81.6,4.5,1.454
